1037,Kálfárvellir,Ekki skráð,101,Heimarafstöð,"0,3",Skrúfa,1940,1946,0,293602,490302
1038,Hamraendar,Ekki skráð,101,Heimarafstöð,"7,5",Skrúfa,1932,1970,0,282605,486979
1039,Ytri-Knarrartunga,Ekki skráð,101,Heimarafstöð,7,Pelton,1943,1970,0,286245,489115
1040,Ytri-Knarrartunga,Ekki skráð,101,Heimarafstöð,25,Pelton,1986,NULL,0,286270,488985
1041,Hjarðarfell  (+héraðsv),Ekki skráð,101,Heimarafstöð,20,Pelton,1951,NULL,1,322937,491375
1042,Miðhraun I og II,Ekki skráð,101,Heimarafstöð,12,Francis,1953,1969,0,325647,489535
1043,Borg I + II   (+rafv.),Ekki skráð,101,Heimarafstöð,20,Francis,1954,NULL,1,329086,488382
1044,Gröf   (+héraðsv.),Ekki skráð,101,Heimarafstöð,28,Francis,1955,1972,0,329242,487463
1045,Dalur II,Ekki skráð,101,Heimarafstöð,5,Francis,1957,1969,0,321275,490110
1046,Mýrdalur   (+rafv.),Ekki skráð,101,Heimarafstöð,11,Pelton,1955,NULL,1,347499,484631
1047,Heggstaðir,Ekki skráð,101,Heimarafstöð,4,Skrúfa,1961,NULL,1,349592,489649
1048,Þverá   (+héraðsv.),Ekki skráð,101,Heimarafstöð,10,Francis,1951,NULL,1,339006,488689
1049,Dalsmynni   (+hérv.),Ekki skráð,101,Heimarafstöð,"7,5",Francis,1954,1977,0,337140,487480
1050,Höfði,Ekki skráð,101,Heimarafstöð,13,Francis,1956,1973,0,342756,492554
1051,Háafell,Ekki skráð,101,Heimarafstöð,4,Pelton,1934,1970,0,379498,503225
1052,Hvammsdalur,Ekki skráð,101,Heimarafstöð,7,Francis,1955,1967,0,367060,539655
1053,Kleifar I og II,Ekki skráð,101,Heimarafstöð,15,Francis,1964,NULL,0,376483,553039
1054,Dönustaðir,Ekki skráð,101,Heimarafstöð,15,Francis,1949,1968,0,384261,522476
1055,Ytri-Fagridalur,Ekki skráð,101,Heimarafstöð,6,Francis,1953,1977,1,356240,541505
1056,Skarð,Ekki skráð,101,Heimarafstöð,5,Francis,1950,1958,0,345425,535253
1057,Breiðabólsstaður,Ekki skráð,101,Heimarafstöð,"12,5",Francis,1956,NULL,1,357304,518620
1058,Sumarbúst. Brbst.,Ekki skráð,101,Heimarafstöð,6,Pelton,1974,NULL,0,357448,518940
1059,Giljaland,Ekki skráð,101,Heimarafstöð,"16,5",Pelton,1956,NULL,0,389520,509920
1060,Gautsdalur,Ekki skráð,101,Heimarafstöð,5,Pelton,1931,1969,0,366040,558264
1061,Garpsdalur,Ekki skráð,101,Heimarafstöð,4,Pelton,1931,NULL,1,368958,553658
1062,Gróustaðir,Ekki skráð,101,Heimarafstöð,"0,5",Francis,1937,NULL,1,366769,553765
1063,Valshamar o.fl,Ekki skráð,101,Heimarafstöð,10,Skrúfa,1962,1969,0,366390,557355
1064,Hlíð,Ekki skráð,101,Heimarafstöð,"2,8",Pelton,1945,1970,0,352727,562611
1065,Kinnarstaðir,Ekki skráð,101,Heimarafstöð,8,Francis,1948,1985,0,355037,565515
1066,Bær (+héraðsv.),Ekki skráð,101,Heimarafstöð,7,Pelton,1950,1971,1,362342,559885
1067,Miðhús,Ekki skráð,101,Heimarafstöð,3,Pelton,1961,1971,0,352612,554597
1068,Teigskógar,Ekki skráð,101,Heimarafstöð,"2,8",Skrúfa,1932,1941,0,350007,563129
1069,Kvígindisdalur I,Ekki skráð,101,Heimarafstöð,3,Francis,1929,NULL,1,269553,571191
1070,Hnjótur I og II,Ekki skráð,101,Heimarafstöð,3,Pelton,1930,NULL,1,262099,572273
1071,Hænuvík I og II,Ekki skráð,101,Heimarafstöð,12,Francis,1954,NULL,1,260543,577938
1072,Vesturbotn,Ekki skráð,101,Heimarafstöð,33,Francis,1954,NULL,0,277775,568809
1073,Kvígindisdalur II,Ekki skráð,101,Heimarafstöð,13,Francis,1955,NULL,0,268731,571443
1074,Tunga I og II,Ekki skráð,101,Heimarafstöð,14,Francis,1959,NULL,1,262425,574104
1075,Geitagil,Ekki skráð,101,Heimarafstöð,10,Francis,1965,NULL,1,261209,572183
1076,Sveinseyri I og II,Ekki skráð,101,Heimarafstöð,14,Pelton,1930,1982,0,276728,579132
1077,Tunguþorp,Ekki skráð,101,Heimarafstöð,30,Pelton,1953,NULL,1,277835,578755
1078,Eysteinseyri,Ekki skráð,101,Heimarafstöð,8,Pelton,1952,NULL,1,279420,576275
1079,Sellátur,Ekki skráð,101,Heimarafstöð,15,Francis,1953,1983,0,270010,585866
1080,Kvígindisfell,Ekki skráð,101,Heimarafstöð,8,Pelton,1954,NULL,1,272088,583914
1081,Suðureyri,Ekki skráð,101,Heimarafstöð,10,Francis,1954,1969,0,272791,580305
1082,Lambeyri,Ekki skráð,101,Heimarafstöð,15,Francis,1969,NULL,1,275844,577863
1083,Hjallatún,Ekki skráð,101,Heimarafstöð,20,Pelton,1985,NULL,1,280063,574998
1084,Hvesta,Ekki skráð,101,Heimarafstöð,12,Francis,1930,NULL,1,283993,585659
1085,Fremri Uppsalir,Ekki skráð,101,Heimarafstöð,"0,5",Pelton,1937,1949,0,270624,595236
1086,Feigsdalur,Ekki skráð,101,Heimarafstöð,15,Pelton,1974,NULL,0,278129,589419
1087,"Bíldudalur, Litla Eyri, Hóll",Ekki skráð,101,Heimarafstöð,40,Francis,1917,1970,0,286731,582062
1088,Foss,Ekki skráð,101,Heimarafstöð,50,Pelton,1971,NULL,0,290850,574593
1089,Meðaldalur,Ekki skráð,101,Heimarafstöð,7,Skrúfa,1927,1958,0,290732,604625
1090,Ketilseyri,Ekki skráð,101,Heimarafstöð,10,Francis,1952,1979,0,301744,601622
1091,Kjaransstaðir,Ekki skráð,101,Heimarafstöð,17,Francis,1953,1968,0,303353,601232
1092,Núpur (skóli),Ekki skráð,101,Heimarafstöð,26,Skrúfa,1931,1973,0,291575,611214
1093,Lækur,Ekki skráð,101,Heimarafstöð,8,Francis,1943,NULL,1,291700,610422
