Nafn,Númer,Greiningartimi,Spatimi,Villa,Vindhradi (m/s),Vindatt,Hiti,Veður
Akureyri,422,8/17/2020 12:00,8/22/2020 15:00,,1,NNA,6,Alskýjað
Akureyri,422,8/17/2020 12:00,8/22/2020 18:00,,1,NNA,6,Alskýjað
Akureyri,422,8/17/2020 12:00,8/22/2020 21:00,,1,ANA,5,Skýjað
Akureyri,422,8/17/2020 12:00,8/23/2020 0:00,,1,SA,4,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/23/2020 3:00,,1,SSV,2,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/23/2020 6:00,,1,S,1,Heiðskírt
Akureyri,422,8/17/2020 12:00,8/23/2020 9:00,,0,Logn,6,Heiðskírt
Akureyri,422,8/17/2020 12:00,8/23/2020 12:00,,2,NNV,9,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/23/2020 18:00,,2,NNA,10,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/24/2020 0:00,,1,SSA,6,Skýjað
Akureyri,422,8/17/2020 12:00,8/24/2020 6:00,,1,S,3,Skýjað
Akureyri,422,8/17/2020 12:00,8/24/2020 12:00,,1,N,10,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/24/2020 18:00,,2,NNV,10,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/25/2020 0:00,,0,Logn,7,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/25/2020 6:00,,1,S,0,Skýjað
Akureyri,422,8/17/2020 12:00,8/25/2020 12:00,,1,N,10,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/25/2020 18:00,,2,N,11,Heiðskírt
Akureyri,422,8/17/2020 12:00,8/26/2020 0:00,,1,S,7,Heiðskírt
Akureyri,422,8/17/2020 12:00,8/26/2020 6:00,,1,SSV,4,Heiðskírt
Akureyri,422,8/17/2020 12:00,8/26/2020 12:00,,1,NNA,10,Skúrir
Akureyri,422,8/17/2020 12:00,8/26/2020 18:00,,3,N,8,Skúrir
Akureyri,422,8/17/2020 12:00,8/27/2020 0:00,,0,Logn,6,Skýjað
Akureyri,422,8/17/2020 12:00,8/27/2020 6:00,,1,S,4,Skýjað
Akureyri,422,8/17/2020 12:00,8/27/2020 12:00,,2,VSV,9,Alskýjað
